Treatment,Vessel,site name,Sample type,control type,Sample #,Time,Duration of tow min,Depth m,Speed kt,Day collection,Day examined,Temp,Salinity,Month,Year,egg,naup,cope,chalimus,adult,Coments,scales,undeveloped eggs?,ruptured egg,ruptured egg string
Freshwater,Aqua Tromoy,,effluent ,,,,15,3,,1,2,6.5,25.5,10,2021,0,5,2,5,1,video of live chalimus and naup,,,,
Freshwater,Aqua Tromoy,Mitchell Bay,control ,spatial,,,15,3,,1,3,6.4,28,10,2021,0,0,0,0,0,,,,,
freshwater,Aqua Tromoy,,effluent ,,,,15,3,,1,3,6.4,25.5,10,2021,0,4,0,2,0,video chalimus and naup,,,,
freshwater,Aqua Tromoy,Mitchell Bay,control ,spatial,,,15,3,,1,4,6.5,28,10,2021,0,0,0,0,0,,,,,
freshwater,Aqua Tromoy,,effluent ,,,,15,3,,1,4,6.5,25.5,10,2021,0,2,1,3,0,"stills, no video",,,,
freshwater,Aqua Tromoy,Mitchell Bay,control ,spatial,,,15,3,,1,5,6.4,28,10,2021,0,0,0,0,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,15,3,,1,5,6.4,25.5,10,2021,0,2,1,0,0,,,,,
none,none,midsummer farm,control ,temporal,,,15,3,,5,5,6.3,26.7,10,2021,0,0,0,0,0,"Plankton very lively, greasy droplets on surface",,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,6,10,28,10,2021,0,6,1,7,1,,,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,6,8.1,27.3,10,2012,0,5,2,7,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,7,6.5,28,10,2021,0,3,1,4,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,7,6.5,27.3,10,2021,0,2,1,2,0,,,,,
none,none,midsummer farm,control ,temporal,,,5,3,,7,7,8,27,10,2021,0,1,0,0,0,,,,,
none,none,midsummer farm,control ,temporal,,,5,3,,7,7,7,26.5,10,2021,0,0,0,0,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,8,6.5,28,10,2021,0,0,0,1,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,8,6.5,27.3,10,2021,0,2,1,1,0,,,,,
none,none, midsummer farm,control ,temporal,,,5,3,,7,8,6.5,27,10,2021,0,0,0,0,0,,,,,
none,none, midsummer farm,control ,temporal,,,5,3,,7,8,6.5,26.5,10,2021,0,0,0,0,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,9,6.5,28,10,2021,0,0,0,0,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,5,3,,6,9,6..5,27.3,10,2021,0,0,0,1,0,,,,,
none,none,midsummer farm,control ,temporal,,,5,3,,7,9,6.5,27,10,2021,0,0,0,0,0,,,,,
none,none,midsummer farm,control ,temporal,,,5,3,,7,9,6.5,26.5,10,2021,0,0,0,0,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,15,,,12,12,9,24.2,10,2021,6,1,2,9,0,"None of he chalimus appeared alive, many had their anterior ends blown off, way more scales than oter samples, one of the copes was alive, naups VERY lively couldn't photo them.",18,6,,
freshwater,Aqua Tromoy,,effluent,,,,15,,,12,13,6.5,24.2,10,2021,5,1,3,11,1,,26,11,2,1
freshwater,Aqua Tromoy,,effluent,,,,15,,,12,14,6.5,24.2,10,2021,5,1,2,3,0,,,,,
freshwater,Aqua Tromoy,,effluent,,,,15,,,12,15,6.6,24.3,10,2021,1,0,0,2,0,,,,,
none,none,Midsummer,control,temporal,,,5,2,,15,16,,24.2,10,2021,0,0,0,0,0,,,,,
none,none,Swanson,control,temporal,,,5,2,,15,16,,,10,2021,0,0,0,0,0,,,,,
none,none,Swanson,control,temporal,,,5,2,,16,17,,,10,2021,0,0,0,0,0,,,,,
none,none,Midsummer,control,temporal,,,5,2,,29,30,8.7,26,10,2021,0,0,0,0,0,orange oil droplets floating in jar - iphone pictures and same colour oil is in the zooplankton - Canon pictures,,,,
none,none,Swanson,control,temporal,,,5,2,,29,30,8.9,26.3,10,2021,0,0,0,0,0,"orange oil droplets floating in jar - iphone pictures and same colour oil is in the zooplankton - Canon pictures, little jelly-like animals alive 9x9mm",,,,
none,none,Midsummer,control,temporal,,,5,2,,30,31,8.8,26.4,10,2021,0,0,0,0,0,orange oil droplets floating in jar - iphone pictures and same colour oil is in the zooplankton - Canon pictures,,,,
none,none,Swanson,control,temporal,,,5,1.5,,30,31,9.15,26.8,10,2021,0,0,0,0,0,"orange oil droplets floating in jar - iphone pictures and same colour oil is in the zooplankton - Canon pictures, larval fish",,,,
none,none,Midsummer,control,temporal,,,5,2,,5,6,8.7,27,11,2021,0,0,0,0,0,orange oil droplets floating,,,,
none,none,Swanson,control,temporal,,,5,2,,5,6,9,27.2,11,2021,0,0,0,0,0,,,,,
none,none,Humphrey Rock,control,temporal,,,5,2,,12,12,,,11,2021,0,0,0,0,0,,,,,
none,none,Cypress,control,temporal,,,5,2,,13,14,8.4,22.6,11,2021,0,0,0,0,0,,,,,
none,none,Sir Edmund,control,temporal,,,5,2,,13,14,8.2,23,11,2021,0,0,0,0,0,orange oil droplets floating,,,,
none,none,Humphrey Rock,control,temporal,,,5,2,1.8 (50G),15,16,8.2,25.3,11,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,,,5,,,26,26,,25.3,11,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,,,5,,,26,26,6.6,25.3,11,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,,,5,0.5,,25,25,6.6,24.4,1,2022,0,1,0,0,8,,,,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,,,5,0.5,,25,26,6.6,24.4,1,2022,0,0,0,0,6,,,,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,control,spatial,,,5,0.5,,25,26,6.7,24.8,1,2022,0,0,0,0,0,300m off the farm,,,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,6,,5,2,,28,29,6.7,27.9,1,2022,,5,0,6,0,skin,,3 caligus string,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,5,,5,2,,28,29,6.7,27.9,1,2022,,7,0,11,0,skin,,5 caligus egg string,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,4,,5,2,,28,29,6.7,27.9,1,2022,,,2,6,0,skin,,4 caligus egg strings,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,3,,5,2,,28,29,6.7,27.9,1,2022,1,1,0,14,0,,y,2 caligus egg string,,
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,effluent,,2,,5,2,,28,29,6.7,27.9,1,2022,,,1,12,0,skin,,4 caligus egg string,,caligus partially empty
Hydrolicer,Mowi Hydrolicer,Humphrey Rock,control,spatial,1,,5,2,,28,29,6.7,27.9,1,2022,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,3,,5,5,,8,8,7.2,31.8,2,2022,0,3,1,7,,"skin, scales",,,,
Hydrolicer,Mowi Hydrolicer,Swanson,control,spatial,,,5,1,,8,8,7.2,31.8,2,2022,0,0,0,0,0,more lively than farm sample,,,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,2,,5,1,,8,8,7.2,31.8,2,2022,0,4,3,11,,11:40:00 AM scales ,,no caligus strings,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,1,,5,1,,8,9,7.2,31.8,2,2022,,,5,3,,"skin, scales VERY lively cope video",,,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,1,1115,5,1,,11,11,7.5,28.6,2,2022,1,3,1,12,,,,,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,2,1237,5,1,,11,11,7.5,28.6,2,2022,0,1,3,14,,,,,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,3,1310,5,1,,11,12,7.5,28.6,2,2022,,1,2,10,,video very lively chal,,,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,4,1328,5,5,,11,12,7.5,28.6,2,2022,,,1,,,skin,,,,
Hydrolicer,Mowi Hydrolicer,Swanson,effluent,,1,1030,5,1,,11,12,45 F,,2,2022,,1,4,,,,,,,
Hydrolicer,Mowi Hydrolicer,Swanson,control,spatial,5,1050,5,1,,11,12,,,2,2022,0,0,0,0,0,,,,,
Freshwater,Mowi Hydrolicer,Midsummer,effluent,,1,1344,5,3,,23,23,6.8,30,2,2022,0,0,0,0,0,,,,,
Freshwater,Mowi Hydrolicer,Midsummer,effluent,,2,1350,5,3,,23,23,6.8,30,2,2022,0,0,1,5,1,scales,,,,
Freshwater,Mowi Hydrolicer,Midsummer,effluent,,3,1413,5,3,,23,24,6.8,30,2,2022,0,0,2,9,0,"scales, very lively cope videod",,,,
Freshwater,Mowi Hydrolicer,Midsummer,effluent,,4,1428,5,3,,23,24,6.8,30,2,2022,1,4,6,14,0,naups very licenly and light-adverse,,,,
Freshwater,Mowi Hydrolicer,Midsummer,control,spatial,5,1445,5,3,,23,24,6.9,29,2,2022,0,0,0,0,0,East side of farm,,,,
